S/N,Keyword,Relevancy,Min Monthly Volume,Max Monthly Volume,Specific Monthly Volume
,best government school in lagos state,2,n/a,n/a,n/a
,nursery schools in lagos,2,n/a,n/a,n/a
,names of private primary schools in nigeria,2,n/a,n/a,n/a
,schools in ikeja gra,2,n/a,n/a,n/a
,grenville school ikeja,2,n/a,n/a,n/a
,secondary schools in oregun,2,n/a,n/a,n/a
,grange school ikeja,2,0,10,0
,temple school lagos,2,n/a,n/a,n/a
,dansol high school,2,0,10,0
,education in lagos,2,0,10,0
,list of private primary schools in ikorodu,2,n/a,n/a,n/a
,british schools in lagos,2,n/a,n/a,n/a
,total number of secondary schools in lagos state,2,n/a,n/a,n/a
,top 10 private schools in lagos,2,n/a,n/a,n/a
,list of secondary schools in ojo local government,2,n/a,n/a,n/a
,list of private secondary schools in victoria island lagos,2,n/a,n/a,n/a
,standard secondary schools in lagos,2,n/a,n/a,n/a
,greensprings school,2,0,10,0
,list of international schools in nigeria,2,n/a,n/a,n/a
,list of expensive schools in lagos,2,n/a,n/a,n/a
,list of british schools in lagos,2,n/a,n/a,n/a
,list of private schools in apapa lagos,2,n/a,n/a,n/a
,missionary schools in lagos,2,n/a,n/a,n/a
,best primary schools in lagos state,2,n/a,n/a,n/a
,is there school today in lagos state,2,n/a,n/a,n/a
,lagos state ministry of education,2,0,10,0
,list of government secondary schools in ikorodu,2,n/a,n/a,n/a
,list of catholic secondary schools in lagos state,2,n/a,n/a,n/a
,lagos state ministry of education alausa ikeja,2,n/a,n/a,n/a
,lagos state ministry of education school calendar 2018/2019 pdf,2,n/a,n/a,n/a
,best model college in lagos state,2,n/a,n/a,n/a
,list of government secondary schools in surulere,2,n/a,n/a,n/a
,lagos state ministry of education examinations board,2,n/a,n/a,n/a
,lagos school news,2,n/a,n/a,n/a
,lagos state secondary school syllabus,2,n/a,n/a,n/a
,list of public secondary schools in alimosho,2,n/a,n/a,n/a
,federal ministry of education lagos,2,n/a,n/a,n/a
,lagos schools online schools,2,n/a,n/a,n/a
,lagos state ministry of education recruitment,2,0,10,0
,list of public secondary schools in nigeria,2,n/a,n/a,n/a
,american international school lagos kidnapping,2,n/a,n/a,n/a
,international school lagos portugal,2,n/a,n/a,n/a
,lagos elementary school,2,0,10,0
,lagos school collapse,2,0,10,0
,lagos school calendar,2,n/a,n/a,n/a
,lagos elementary school manor tx,2,0,10,0
,lagos elementary staff,2,n/a,n/a,n/a
,list of boarding schools in ikeja,2,n/a,n/a,n/a
,school vacancies in ikeja,2,n/a,n/a,n/a
,school directory in nigeria,2,n/a,n/a,n/a
,new schools in lagos,2,n/a,n/a,n/a
,private schools in lagos island,2,n/a,n/a,n/a
,lekki british school,2,0,10,1
,lagos preparatory school,2,0,10,0
,lagoon secondary school lagos,2,n/a,n/a,n/a
,chrisland schools,2,0,10,0
,top 20 secondary schools in anambra state,2,n/a,n/a,n/a
,most expensive schools in anambra state,2,n/a,n/a,n/a
,best secondary schools in south east nigeria,2,n/a,n/a,n/a
,regina pacis model secondary school onitsha onitsha,2,n/a,n/a,n/a
,british spring college awka,2,0,10,0
,grundtvig international secondary school oba,2,0,10,0
,catholic schools in ogun state,2,n/a,n/a,n/a
,cheap boarding schools in ogun state,2,n/a,n/a,n/a
,oldest secondary school in ogun state,2,n/a,n/a,n/a
,universities nigeria,2,n/a,n/a,n/a
,primary schools in nigeria,2,0,10,1
,nursing schools nigeria,2,n/a,n/a,n/a
,colleges nigeria,2,n/a,n/a,n/a
,catholic schools in lekki,2,n/a,n/a,n/a
,private primary schools in nigeria,2,n/a,n/a,n/a
,best secondary schools in ogun state,2,n/a,n/a,n/a
,home lessons in nigeria,2,n/a,n/a,n/a
,entertainment schools in nigeria,2,n/a,n/a,n/a
,mea mater meaning,2,n/a,n/a,n/a
,private secondary school in nigeria,2,n/a,n/a,n/a
,technical secondary schools in nigeria,2,n/a,n/a,n/a
,curriculum for secondary schools in nigeria,2,n/a,n/a,n/a
,the secondary schools in nigeria,2,n/a,n/a,n/a
,list special schools in nigeria,2,n/a,n/a,n/a
,best secondary schools in ibadan,2,n/a,n/a,n/a
,art schools in nigeria,2,0,10,0
,aviation schools in nigeria,2,n/a,n/a,n/a
,it training in nigeria,2,n/a,n/a,n/a
,rating of secondary schools in nigeria,2,n/a,n/a,n/a
,list of top secondary schools in nigeria,2,n/a,n/a,n/a
,top 10 secondary schools in nigeria 2011,2,n/a,n/a,n/a
,best secondary schools in nigeria 2010,2,n/a,n/a,n/a
,best secondary school in nigeria 2011,2,n/a,n/a,n/a
,schools africa,2,0,10,0
,mea mater students information,2,n/a,n/a,n/a
,mmehs portal,2,n/a,n/a,n/a
,www mmehs com school portal,2,n/a,n/a,n/a
,pine crest school enugu,2,0,10,0
,mmehs calendar,2,n/a,n/a,n/a
,top 10 best secondary schools in enugu,2,n/a,n/a,n/a
,top 100 secondary schools in nigeria,2,n/a,n/a,n/a
,good secondary schools in nigeria,2,n/a,n/a,n/a
,secondary schools in lekki,2,n/a,n/a,n/a
,federal secondary schools in nigeria,2,0,10,0
,number of secondary schools in nigeria,2,n/a,n/a,n/a
,catholic secondary schools in nigeria,2,n/a,n/a,n/a
,british schools in abuja,2,n/a,n/a,n/a
,most expensive schools in abuja,2,n/a,n/a,n/a
,schools in utako abuja,2,n/a,n/a,n/a
,kings and queens high school,2,n/a,n/a,n/a
,kings and queens high school uyo,2,n/a,n/a,n/a
,king's college lagos school fees,2,n/a,n/a,n/a
,king's college school fees nigeria,2,n/a,n/a,n/a
,king's college lagos schools nigeria,2,n/a,n/a,n/a
,nigerian secondary school curriculum,2,n/a,n/a,n/a
,oldest primary school in nigeria,2,0,10,0
,first private primary school in nigeria,2,n/a,n/a,n/a
,oldest secondary school in igboland,2,n/a,n/a,n/a
,oldest university in nigeria,2,51,100,64.12552706
,oldest secondary school in rivers state,2,n/a,n/a,n/a
,baptist academy lagos,2,n/a,n/a,n/a
,top 50 oldest secondary school in nigeria,2,n/a,n/a,n/a
,abeokuta grammar school,2,0,10,0
,colleges in nigeria,2,0,10,0
,special schools in nigeria and their locations,2,n/a,n/a,n/a
,special needs schools in nigeria,2,n/a,n/a,n/a
,history of primary education in nigeria,2,n/a,n/a,n/a
,best government secondary school in abuja,2,n/a,n/a,n/a
,private primary schools in ibadan,2,n/a,n/a,n/a
,list of approved schools in rivers state,2,n/a,n/a,n/a
,list of illegal schools in rivers state,2,n/a,n/a,n/a
,list of unapproved schools in rivers state,2,n/a,n/a,n/a
,secondary schools in igwuruta,2,n/a,n/a,n/a
,ten best secondary schools in rivers state,2,n/a,n/a,n/a
,names of secondary schools in lagos,2,n/a,n/a,n/a
,christian secondary schools in lagos,2,n/a,n/a,n/a
,private secondary schools in lagos and address,2,n/a,n/a,n/a
,private primary and secondary schools in lagos,2,n/a,n/a,n/a
,boarding secondary schools in lagos nigeria,2,n/a,n/a,n/a
,secondary schools with boarding facilities in lagos,2,n/a,n/a,n/a
,secondary schools in lekki lagos,2,n/a,n/a,n/a
,it schools in lagos,2,n/a,n/a,n/a
,private schools lagos,2,n/a,n/a,n/a
,international schools in lagos state,2,n/a,n/a,n/a
,private schools in lagos state,2,n/a,n/a,n/a
,primary schools in lagos,2,0,10,0
,primary schools in lagos state,2,n/a,n/a,n/a
,list of schools in lagos island,2,n/a,n/a,n/a
,top primary schools in lagos,2,n/a,n/a,n/a
,top 10 primary schools in lagos,2,n/a,n/a,n/a
,top islamic schools in lagos,2,n/a,n/a,n/a
,private schools in lagos nigeria,2,0,10,0
,list of international schools in lagos nigeria,2,n/a,n/a,n/a
,private schools in lagos state nigeria,2,n/a,n/a,n/a
,lists of schools in lagos,2,n/a,n/a,n/a
,primary schools in lagos nigeria,2,n/a,n/a,n/a
,lagos state private schools registration,2,n/a,n/a,n/a
,registered schools in lagos,2,n/a,n/a,n/a
,schools in maryland lagos,2,n/a,n/a,n/a
,lists of private schools in lagos,2,n/a,n/a,n/a
,nigerian private schools in lagos,2,n/a,n/a,n/a
,list of schools in victoria island lagos,2,n/a,n/a,n/a
,private schools in victoria island lagos,2,n/a,n/a,n/a
,schools in lagos mainland,2,n/a,n/a,n/a
,list of schools in lekki lagos,2,n/a,n/a,n/a
,schools in lekki lagos nigeria,2,n/a,n/a,n/a
,lolad schools lagos,2,n/a,n/a,n/a
,private schools in surulere lagos,2,n/a,n/a,n/a
,schools in lagos ikoyi,2,n/a,n/a,n/a
,schools in ikoyi lagos,2,n/a,n/a,n/a
,abbot dayspring schools lagos,2,n/a,n/a,n/a
,schools in ipaja lagos,2,n/a,n/a,n/a
,stars international school ikorodu,2,n/a,n/a,n/a
,awesome college ilupeju lagos,1,0,10,0
,stars international college ikorodu,1,n/a,n/a,n/a
,www whitesands org ng,1,n/a,n/a,n/a
,private secondary schools in lekki,1,0,10,0
,lagoon school lagos fees,1,n/a,n/a,n/a
,queenscollegelagos.com,1,n/a,n/a,n/a
,cms grammar school lagos nigeria,1,n/a,n/a,n/a
,louisville girls high school nigeria,1,n/a,n/a,n/a
,waec ranking of secondary schools in nigeria,1,n/a,n/a,n/a
,schools with best waec results in nigeria,1,n/a,n/a,n/a
,top 20 secondary schools,1,n/a,n/a,n/a
,whitesands school enugu,1,n/a,n/a,n/a
,british curriculum schools in nigeria,1,n/a,n/a,n/a
,international boarding schools in nigeria,1,n/a,n/a,n/a
,christian secondary schools in abuja,1,n/a,n/a,n/a
,list of secondary schools in anambra state,1,n/a,n/a,n/a
,best secondary school in west africa,1,n/a,n/a,n/a
,list of private secondary schools in anambra state,1,n/a,n/a,n/a
,names of boarding schools in abuja,1,n/a,n/a,n/a
,top 10 best public secondary school in ogun state,1,n/a,n/a,n/a
,corona secondary school nigeria,1,0,10,0
,vivian fowler founder,1,n/a,n/a,n/a
,list of private secondary schools in abuja,1,n/a,n/a,n/a
,list education in lagos,1,n/a,n/a,n/a
,list of schools in nigeria wikipedia on ask,1,n/a,n/a,n/a
,schools in abule egba,1,0,10,0
,private secondary school in lagos,1,n/a,n/a,n/a
,list of schools in lekki,1,n/a,n/a,n/a
,private schools in victoria island,1,n/a,n/a,n/a
,delightsome land school,1,n/a,n/a,n/a
,oneal school lagos,1,n/a,n/a,n/a
,schools in victoria island,1,n/a,n/a,n/a
,jubril martins memorial grammar school,1,0,10,0
,maryland comprehensive secondary school ikeja lagos,1,n/a,n/a,n/a
,maryland comprehensive secondary school lagos,1,n/a,n/a,n/a
,private schools in ogba,1,n/a,n/a,n/a
,greenspring school lagos fees,1,n/a,n/a,n/a
,global college lagos,1,n/a,n/a,n/a
,lagos state technical colleges,1,n/a,n/a,n/a
,first logic ikeja,1,n/a,n/a,n/a
,bachel group of schools,1,n/a,n/a,n/a
,first logic lagos,1,0,10,0
,corona school lagos nigeria,1,n/a,n/a,n/a
,wikipedia lagos,1,0,10,0
,lebanese girls in lagos,1,n/a,n/a,n/a
,schools in ikeja,1,n/a,n/a,n/a
,greensprings school lagos fees,1,n/a,n/a,n/a
,best schools in lekki,1,n/a,n/a,n/a
,ikeja girls,1,n/a,n/a,n/a
,baptist model high school,1,n/a,n/a,n/a
,language schools in nigeria,1,n/a,n/a,n/a
,private schools in iyana ipaja,1,n/a,n/a,n/a
,lagos state ministry of education districts,1,n/a,n/a,n/a
,methodist ministries on louis pasteur,1,n/a,n/a,n/a
,bizben high school,1,0,10,0
,10 best secondary schools in lagos,1,n/a,n/a,n/a
,top 10 best schools in lagos,1,n/a,n/a,n/a
,best fashion schools in lagos,1,n/a,n/a,n/a
,best primary schools in lagos nigeria,1,n/a,n/a,n/a
,best makeup schools in lagos,1,n/a,n/a,n/a
,islamic secondary schools in lagos,1,n/a,n/a,n/a
,best catering schools in lagos,1,n/a,n/a,n/a
,islamic secondary schools in lagos nigeria,1,n/a,n/a,n/a
,lagos state ministry of education scheme of work for secondary schools,1,n/a,n/a,n/a
,private secondary schools in lagos and their addresses,1,n/a,n/a,n/a
,anglican secondary schools in lagos,1,n/a,n/a,n/a
,private secondary schools in ikeja lagos,1,n/a,n/a,n/a
,private secondary schools in lekki lagos,1,n/a,n/a,n/a
,secondary schools in surulere lagos,1,n/a,n/a,n/a
,business schools in lagos,1,n/a,n/a,n/a
,media schools in lagos,1,n/a,n/a,n/a
,music schools in lagos,1,n/a,n/a,n/a
,film schools in lagos,1,n/a,n/a,n/a
,a level schools in lagos,1,n/a,n/a,n/a
,international schools lagos,1,n/a,n/a,n/a
,it training schools in lagos,1,n/a,n/a,n/a
,art schools in lagos,1,n/a,n/a,n/a
,business management schools in lagos,1,n/a,n/a,n/a
,schools for sale in lagos,1,n/a,n/a,n/a
,computer schools in lagos,1,n/a,n/a,n/a
,list of business schools in lagos,1,n/a,n/a,n/a
,film schools in lagos state,1,n/a,n/a,n/a
,list of music schools in lagos,1,n/a,n/a,n/a
,top international schools in lagos,1,n/a,n/a,n/a
,event management schools in lagos,1,n/a,n/a,n/a
,french schools in lagos,1,n/a,n/a,n/a
,part time schools in lagos,1,n/a,n/a,n/a
,top computer schools in lagos,1,n/a,n/a,n/a
,lagos private schools online,1,n/a,n/a,n/a
,events management schools in lagos,1,n/a,n/a,n/a
,fashion schools lagos,1,n/a,n/a,n/a
,fashion schools in lagos,1,0,10,0
,computer training schools in lagos,1,n/a,n/a,n/a
,good fashion schools in lagos,1,n/a,n/a,n/a
,voice training schools in lagos,1,n/a,n/a,n/a
,standard private schools in lagos,1,n/a,n/a,n/a
,dance schools in lagos,1,n/a,n/a,n/a
,list of fashion schools in lagos,1,n/a,n/a,n/a
,fashion design schools in lagos,1,n/a,n/a,n/a
,international primary schools in lagos,1,n/a,n/a,n/a
,business schools in lagos nigeria,1,n/a,n/a,n/a
,schools of photography in lagos,1,n/a,n/a,n/a
,fashion training schools lagos,1,n/a,n/a,n/a
,music schools in lagos nigeria,1,n/a,n/a,n/a
,film schools in lagos nigeria,1,n/a,n/a,n/a
,a level schools in lagos nigeria,1,n/a,n/a,n/a
,international schools in nigeria lagos,1,n/a,n/a,n/a
,international schools lagos nigeria,1,0,10,0
,art schools in lagos nigeria,1,n/a,n/a,n/a
,cake schools in lagos,1,n/a,n/a,n/a
,computer schools in lagos nigeria,1,n/a,n/a,n/a
,list of business schools in lagos nigeria,1,n/a,n/a,n/a
,top event planning schools in lagos,1,n/a,n/a,n/a
,fashion schools in lagos island,1,n/a,n/a,n/a
,driving schools in lagos,1,n/a,n/a,n/a
,schools of interior design in lagos,1,n/a,n/a,n/a
,french schools in lagos nigeria,1,n/a,n/a,n/a
,lagos state schools debate,1,n/a,n/a,n/a
,fashion schools in nigeria lagos,1,n/a,n/a,n/a
,fashion schools in lagos nigeria,1,n/a,n/a,n/a
,cake training schools in lagos,1,n/a,n/a,n/a
,computer training schools in lagos nigeria,1,n/a,n/a,n/a
,makeup schools in lagos,1,n/a,n/a,n/a
,makeup schools lagos,1,n/a,n/a,n/a
,fashion schools in lagos state nigeria,1,n/a,n/a,n/a
,graphic schools in lagos,1,n/a,n/a,n/a
,makeup schools in lagos state,1,n/a,n/a,n/a
,french language schools in lagos nigeria,1,n/a,n/a,n/a
,aviation schools in lagos,1,n/a,n/a,n/a
,skin care training schools in lagos nigeria,1,n/a,n/a,n/a
,makeup training schools in lagos,1,n/a,n/a,n/a
,aviation schools in lagos state,1,n/a,n/a,n/a
,driving schools in lagos nigeria,1,n/a,n/a,n/a
,lagos state scheme of work for primary schools,1,n/a,n/a,n/a
,expensive private schools in lagos,1,n/a,n/a,n/a
,video editing schools in lagos,1,0,10,0
,teaching jobs in lagos private schools,1,n/a,n/a,n/a
,teaching jobs lagos private schools,1,n/a,n/a,n/a
,affordable fashion schools in lagos,1,n/a,n/a,n/a
,interior design schools in lagos nigeria,1,n/a,n/a,n/a
,aviation training schools in lagos,1,n/a,n/a,n/a
,schools in satellite town lagos,1,n/a,n/a,n/a
,stanley schools lagos,1,n/a,n/a,n/a
,makeup schools in lagos nigeria,1,n/a,n/a,n/a
,fashion designers schools in lagos,1,n/a,n/a,n/a
,nursing schools in lagos nigeria,1,n/a,n/a,n/a
,fashion schools in maryland lagos,1,n/a,n/a,n/a
,aviation schools in lagos nigeria,1,0,10,0
,aviation schools in nigeria lagos,1,n/a,n/a,n/a
,schools for lease in lagos,1,n/a,n/a,n/a
,cake making schools lagos,1,n/a,n/a,n/a
,cake making schools in lagos,1,n/a,n/a,n/a
,primary schools in victoria island lagos,1,n/a,n/a,n/a
,acting schools in lagos,1,n/a,n/a,n/a
,schools in lago vista,1,n/a,n/a,n/a
,lago vista schools,1,0,10,0
,public speaking schools in lagos,1,n/a,n/a,n/a
,certified music schools in lagos state nigeria,1,n/a,n/a,n/a
,certified driving schools in lagos,1,n/a,n/a,n/a
,acting schools in lagos nigeria,1,n/a,n/a,n/a
,schools in lagos portugal,1,n/a,n/a,n/a
,culinary schools in lagos,1,n/a,n/a,n/a
,top culinary schools in lagos,1,n/a,n/a,n/a
,performing arts schools in lagos,1,n/a,n/a,n/a
,bella lago schools,1,n/a,n/a,n/a
,music schools in lagos mainland,1,n/a,n/a,n/a
,lago vista tx schools,1,0,10,0
,fashion schools in lagos mainland,1,n/a,n/a,n/a
,vacancies in schools in lagos,1,n/a,n/a,n/a
,job vacancies in schools in lagos,1,n/a,n/a,n/a
,approved driving schools in lagos,1,n/a,n/a,n/a
,current vacancies in schools in lagos,1,n/a,n/a,n/a
,nursery primary schools lagos,1,n/a,n/a,n/a
,nursery and primary schools in lagos,1,n/a,n/a,n/a
,vacancies in private schools in lagos,1,n/a,n/a,n/a
,catering schools in lagos,1,n/a,n/a,n/a
,approved aviation schools in lagos,1,n/a,n/a,n/a
,list of catering schools in lagos,1,n/a,n/a,n/a
,nursery and primary schools in lagos nigeria,1,n/a,n/a,n/a
,fashion designing schools in lagos,1,n/a,n/a,n/a
,catering and hotel management schools in lagos,1,n/a,n/a,n/a
,catering schools in lagos nigeria,1,n/a,n/a,n/a
,catering schools in lagos and their fees,1,n/a,n/a,n/a
,teaching vacancies in lagos private schools,1,n/a,n/a,n/a
,nursery schools in victoria island lagos,1,n/a,n/a,n/a
,boarding schools in lagos,1,n/a,n/a,n/a
,catering schools in victoria island lagos,1,n/a,n/a,n/a
,boarding schools in nigeria lagos,1,n/a,n/a,n/a
,vocational schools in lagos,1,n/a,n/a,n/a
,cheap boarding schools in lagos,1,0,10,0
,vocational training schools in lagos,1,n/a,n/a,n/a
,interior decorating schools in lagos,1,n/a,n/a,n/a
,cake decorating schools in lagos,1,n/a,n/a,n/a
,corona schools lagos,1,n/a,n/a,n/a
,grange schools lagos nigeria,1,n/a,n/a,n/a
,idea public schools tres lagos,1,0,10,1
,montessori schools in lagos,1,n/a,n/a,n/a
,montessori schools in lagos state,1,n/a,n/a,n/a
,list of montessori schools in lagos,1,n/a,n/a,n/a
,montessori training schools in lagos,1,n/a,n/a,n/a
,montessori training schools in lagos nigeria,1,n/a,n/a,n/a
,confectionery schools in lagos,1,n/a,n/a,n/a
,tailoring schools in lagos,1,n/a,n/a,n/a
,catering schools in lagos ikeja,1,n/a,n/a,n/a
,national association of proprietors of private schools lagos,1,n/a,n/a,n/a
,schools in lekki lagos,1,n/a,n/a,n/a
,private schools in lekki lagos,1,n/a,n/a,n/a
,primary schools in lekki lagos,1,n/a,n/a,n/a
,greensprings schools lagos,1,n/a,n/a,n/a
,querencia schools lagos,1,n/a,n/a,n/a
,girls' schools in lagos,1,n/a,n/a,n/a
,honeyland schools lagos nigeria,1,n/a,n/a,n/a
,greensprings schools lagos nigeria,1,0,10,0
,make-up schools in lagos nigeria,1,n/a,n/a,n/a
,nursery schools in lekki lagos,1,n/a,n/a,n/a
,catering schools in lekki lagos,1,n/a,n/a,n/a
,schools in surulere lagos,1,n/a,n/a,n/a
,primary schools in surulere lagos,1,n/a,n/a,n/a
,driving schools in surulere lagos,1,n/a,n/a,n/a
,catering schools in surulere lagos,1,n/a,n/a,n/a
,montessori schools in lekki lagos,1,n/a,n/a,n/a
,private schools in ikoyi lagos,1,n/a,n/a,n/a
,nursery schools in ikoyi lagos,1,n/a,n/a,n/a
,schools in ikorodu lagos,1,n/a,n/a,n/a
,schools in ajah lagos,1,n/a,n/a,n/a
,nursery and primary schools in ajah lagos,1,n/a,n/a,n/a
,schools in ojota lagos,1,n/a,n/a,n/a
,private schools in okota lagos,1,0,10,0
,greenspring schools lagos,1,n/a,n/a,n/a
,private secondary schools in ikeja,1,n/a,n/a,n/a
,best secondary schools,1,0,10,0
,lagos,1,11501,30300,23271.58655
,isolo,1,0,10,1
,cms grammar school,1,0,10,0
,agege,1,11,50,38.68984882
,badagry,1,0,10,10.5370846
,apapa,1,101,200,101.6055892
,university of ife,1,0,10,0
,festac,1,0,10,0
,nigerian capital,1,51,100,73.16401442
,winneba,1,11,50,23.54436116
,ikeja,1,11,50,16.71429414
,nigerian football club,1,0,10,0
,federal government college,1,0,10,0
,makurdi,1,101,200,152.5033898
,ikoyi,1,11,50,27.24240562
,surulere,1,101,200,173.8377777
,nigerian city,1,51,100,73.16401442
,abakaliki,1,0,10,0
,benin city,1,201,500,346.2539619
,ughelli,1,0,10,0
,uyo,1,501,850,677.3783603
,ikot ekpene,1,0,10,1
,ekpene,1,n/a,n/a,n/a
,adisadel college,1,0,10,0
,adisadel,1,0,10,0
,kafanchan,1,0,10,0
,ibadan,1,501,850,717.3484223
,osun state,1,11,50,27.24240562
,warri,1,501,850,520.7585902
,egbaland,1,51,100,64.12552706
,awka,1,11,50,23.54436116
,university of ibadan,1,201,500,370.5235934
,funtua,1,11,50,23.54436116
,prempeh college,1,0,10,10.5370846
,ogbomoso,1,101,200,111.4695512
,the federal university of technology,1,n/a,n/a,n/a
,federal university of technology,1,0,10,1
,state of nigeria,1,0,10,0
,port harcourt,1,851,1700,990.5589802
,fourah bay college,1,11,50,27.24240562
,obafemi awolowo university,1,201,500,358.3577746
,sekondi-takoradi,1,0,10,10.5370846
,benin republic,1,501,850,507.9700856
,orlu,1,11,50,23.54436116
,ogun state,1,101,200,163.1089219
,the university of benin,1,n/a,n/a,n/a
,achimota school,1,0,10,0
,cape coast,1,101,200,101.6055892
,lekki,1,0,10,10.5370846
,cross river state,1,11,50,27.24240562
,achimota,1,0,10,10.5370846
,southwestern nigeria,1,0,10,1
,yaba,1,851,1700,1345.080696
,ijebu-ode,1,n/a,n/a,n/a
,kontagora,1,51,100,73.16401442
,abeokuta,1,201,500,432.2209725
,nsukka,1,51,100,64.12552706
,oyo state,1,51,100,82.43667792
,ikorodu,1,201,500,229.1262897
,akwa ibom state,1,51,100,64.12552706
,igbobi,1,n/a,n/a,n/a
,igbobi college,1,0,10,0
,the university of ife,1,n/a,n/a,n/a
,the western region,1,0,10,1
,the greater accra region,1,n/a,n/a,n/a
,ajegunle,1,0,10,1
,university of calabar,1,11,50,27.24240562
,the university of calabar,1,n/a,n/a,n/a
,calabar,1,851,1700,921.2614825
,the ashanti region,1,n/a,n/a,n/a
,teshie,1,0,10,0
,onitsha,1,201,500,370.5235934
,uturu,1,0,10,0
,festac town,1,11,50,23.54436116
,imo state,1,11,50,46.85480075
